categoria;assunto;enunciado;a;b;c;d;e;correta
Arrais Amador;Geral;Quem é responsável pela fiscalização do tráfego aquaviário nas áreas adjacentes às praias?;A Marinha do Brasil;As Capitanias dos Portos (CP), suas Delegacias (DL) e Agências (AG);Os governos estaduais;As Sociedades Classificadoras;As administrações municipais, exclusivamente (Prefeitura);As Capitanias dos Portos (CP), suas Delegacias (DL) e Agências (AG)
Arrais Amador;Geral;Quem coordena os Conselhos de Assessoramento criados pelas CP/DL/AG?;Um representante das autoridades estaduais;Um membro das entidades desportivas;O titular da Organização Militar (OM);Um representante das marinas;O Capitão dos Portos;O titular da Organização Militar (OM)
Arrais Amador;Geral;Qual dos seguintes temas pode ser abordado nas reuniões dos Conselhos de Assessoramento?;Responsabilidades das marinas e clubes náuticos na segurança do tráfego rodoviário;Acordos para a definição de áreas para prática de esportes náuticos;Planejamento de construções portuárias;Regularização da pesca em águas jurisdicionais;Monitoramento do comércio internacional de embarcações;Acordos para a definição de áreas para prática de esportes náuticos
Arrais Amador;Geral;"O que caracteriza uma ""Alteração"" em uma embarcação?";Mudança no nome da embarcação;Modificação nos arranjos dos planos exigidos na licença de construção;Alteração na cor da embarcação;Atualização dos documentos de registro;Troca da tripulação;Modificação nos arranjos dos planos exigidos na licença de construção
Arrais Amador;Geral;"Quem é considerado um ""Amador"" segundo as definições?";Pessoa que trabalha profissionalmente em embarcações;Qualquer pessoa que possua uma embarcação;Alguém habilitado pela Autoridade Marítima para operar embarcações de esporte e/ou recreio;Quem possui uma carteira de habilitação de motorista;Um tripulante em treinamento;Alguém habilitado pela Autoridade Marítima para operar embarcações de esporte e/ou recreio
Arrais Amador;Geral;"O que são ""Áreas adjacentes às praias""?";Áreas de navegação costeira.;Áreas dentro de rios, lagos e lagoas.;Área em todo o entorno de uma faixa de praia até o limite de 200 metros a partir da linha de arrebentação.;Áreas utilizadas para atividades pesqueiras.;Áreas destinadas à construção de marinas.;Área em todo o entorno de uma faixa de praia até o limite de 200 metros a partir da linha de arrebentação.
Arrais Amador;Geral;"Qual a definição de ""Navegação Costeira""?";Navegação realizada em águas internacionais.;Navegação dentro dos limites de visibilidade da costa até 20 milhas náuticas.;Navegação restrita a rios e lagos.;Navegação realizada em mares abertos, sem restrições.;Navegação exclusiva para embarcações de pequeno porte.;Navegação dentro dos limites de visibilidade da costa até 20 milhas náuticas.
Arrais Amador;Geral;"O que caracteriza a ""Navegação Oceânica""?";Navegação que ocorre somente em lagos e rios.;Navegação realizada exclusivamente em águas abrigadas.;Navegação além das 20 milhas náuticas da costa, sem restrições.;Navegação dentro das baías e canais;Navegação restrita a áreas de proteção ambiental.;Navegação além das 20 milhas náuticas da costa, sem restrições.
Arrais Amador;Geral;"Qual é a definição de ""Navegação Interior""?";Navegação que ocorre em alto-mar.;Navegação realizada em águas consideradas abrigadas ou parcialmente abrigadas.;Navegação dentro de portos e marinas.;Navegação costeira a até 10 milhas náuticas.;Navegação realizada em mares abertos.;Navegação realizada em águas consideradas abrigadas ou parcialmente abrigadas.
Arrais Amador;Geral;"Qual embarcação precisa ter um ""Certificado de Arqueação""?";Toda embarcação de lazer.;Embarcações com comprimento maior ou igual a 24 metros.;Embarcações de pesca de pequeno porte.;Embarcações sem propulsão mecânica.;Embarcações usadas exclusivamente para transporte de passageiros.;Embarcações com comprimento maior ou igual a 24 metros.
Arrais Amador;Geral;"O que é a ""Carteira de Habilitação de Amador (CHA)""?";Documento que autoriza a pesca em águas jurisdicionais.;Certificado que comprova a propriedade de uma embarcação.;Documento que habilita e expressa a qualificação do amador na condução de embarcações de esporte e/ou recreio.;Licença para operar barcos comerciais.;Permissão para transportar carga em embarcações.;Documento que habilita e expressa a qualificação do amador na condução de embarcações de esporte e/ou recreio.
Arrais Amador;Geral;"O que é um ""Cartão de Tripulação de Segurança (CTS)""?";Documento que autoriza a construção de uma embarcação.;Certificado que atesta a conformidade com normas ambientais.;Documento que apresenta a composição mínima da tripulação para operar uma embarcação com segurança.;Licença de pesca.;Autorização para navegar em águas internacionais.;Documento que apresenta a composição mínima da tripulação para operar uma embarcação com segurança.
Arrais Amador;Geral;"O que é um ""Certificado de Classe""?";Certificado emitido para permitir a navegação em águas interiores.;Documento que atesta que a embarcação atende às regras de uma Sociedade Classificadora.;Licença para operar embarcações de grande porte.;Autorização para transportar passageiros.;Certificado que comprova o tamanho da embarcação.;Documento que atesta que a embarcação atende às regras de uma Sociedade Classificadora.
Arrais Amador;Geral;"Qual é o ""Convés de Borda Livre""?";O convés onde estão localizados os motores.;O convés mais elevado, completo, com meios permanentes de fechamento que asseguram estanqueidade.;Qualquer convés superior da embarcação.;O convés onde são instaladas as antenas de comunicação.;Convés destinado ao transporte de carga.;O convés mais elevado, completo, com meios permanentes de fechamento que asseguram estanqueidade.
Arrais Amador;Geral;"O que são ""Dispositivos Aéreos""?";Meios de comunicação utilizados em embarcações.;Dispositivos que auxiliam na navegação em áreas costeiras.;Meios de uso individual ou coletivo, desprovidos de propulsão, rebocados pelo ar para práticas esportivas ou recreativas.;Equipamentos de segurança instalados em embarcações.;Aparelhos usados para monitorar as condições climáticas.;Meios de uso individual ou coletivo, desprovidos de propulsão, rebocados pelo ar para práticas esportivas ou recreativas.
Arrais Amador;Geral;"O que é uma ""Embarcação Auxiliar""?";Embarcação principal de uma frota.;Embarcação de grande porte usada para transporte de carga.;Embarcação usada exclusivamente para salvamento.;Embarcação destinada ao transporte de passageiros entre ilhas.;Embarcação miúda usada como apoio, com ou sem motor de popa, com nome e número da inscrição da embarcação principal.;Embarcação miúda usada como apoio, com ou sem motor de popa, com nome e número da inscrição da embarcação principal.
Arrais Amador;Geral;"Qual é a definição de ""Embarcação Miúda""?";Qualquer embarcação com menos de 10 metros.;Embarcação com comprimento inferior ou igual a seis metros.;Embarcação usada exclusivamente para pesca.;Embarcação de propulsão manual.;Embarcação destinada ao transporte de pequenas cargas.;Embarcação com comprimento inferior ou igual a seis metros.
Arrais Amador;Geral;"O que significa ""Estabilidade Intacta"" em uma embarcação?";Capacidade de a embarcação se mover em linha reta.;Capacidade de a embarcação retornar à sua posição inicial de equilíbrio após cessada a força perturbadora.;Capacidade de a embarcação suportar carga pesada.;Capacidade de a embarcação manter velocidade constante.;Capacidade de a embarcação navegar em mar agitado.;Capacidade de a embarcação retornar à sua posição inicial de equilíbrio após cessada a força perturbadora.
Arrais Amador;Geral;Qual é a distância mínima da linha de base que embarcações com propulsão a remo ou a vela devem manter ao navegar em áreas próximas a praias?;50 metros;100 metros;150 metros;200 metros;250 metros;100 metros
Arrais Amador;Geral;Qual é a distância mínima da linha de base que embarcações com propulsão a motor devem manter ao navegar em áreas próximas a praias?;50 metros;100 metros;150 metros;200 metros;250 metros;200 metros
Arrais Amador;Geral;Como é definida a linha de base nas praias litorâneas para a navegação?;A linha mais distante das ondas;O ponto onde a água atinge a areia;A linha de arrebentação das ondas;O limite de 200 metros a partir da costa;A linha de maré baixa;A linha de arrebentação das ondas
Arrais Amador;Geral;"O que é uma ""Associação Náutica""?";Empresa que comercializa equipamentos náuticos.;Entidade civil, sem fins lucrativos, que agrega amadores em torno de objetivos náuticos e/ou esportivos.;Clube de esportes variados que inclui atividades náuticas.;Organização governamental para fiscalização náutica.;Grupo de pescadores locais.;Entidade civil, sem fins lucrativos, que agrega amadores em torno de objetivos náuticos e/ou esportivos.
Arrais Amador;Geral;Qual é a velocidade máxima permitida para uma embarcação ao transitar entre o ponto de entrada/saída d’água e a linha de base?;1 nós;2 nós;3 nós;4 nós;5 nós;3 nós
Arrais Amador;Geral;Em quais situações as embarcações empregadas no Serviço de Salvamento de vidas humanas na água estão isentas das restrições de distância da linha de base?;Quando estiverem em manutenção;Quando o tempo estiver favorável;Quando estiverem vazias;Quando houver baixa visibilidade;Quando em operação de resgate;Quando em operação de resgate
Arrais Amador;Geral;Quem é responsável por definir os limites de navegação em locais onde as regras gerais não podem ser aplicadas?;A Autoridade Marítima Nacional;A Polícia Ambiental;O Corpo de Bombeiros;A Marinha Mercante;O Capitão dos Portos;O Capitão dos Portos
Arrais Amador;Geral;De acordo com a regulamentação, quem é responsável pela delimitação de áreas para dispositivos flutuantes e equipamentos de entretenimento aquático?;Os usuários dos equipamentos;As Autoridade municipal ou estadual;Os proprietários dos dispositivos;A Marinha do Brasil;A Capitania dos Portos;As Autoridade municipal ou estadual
Arrais Amador;Geral;Em quais áreas é permitido o fundeio de embarcações na extremidade navegável das praias?;Em qualquer local sem restrições;Apenas nas áreas delimitadas para fundeio;Apenas para embarque e desembarque de pessoal e material;Apenas durante o dia;Apenas em áreas designadas por clubes náuticos;Apenas para embarque e desembarque de pessoal e material
Arrais Amador;Geral;Qual é a distância mínima que deve ser mantida por embarcações em relação às instalações militares?;100 metros;150 metros;200 metros;250 metros;300 metros;200 metros
Arrais Amador;Geral;Qual é a distância mínima de segurança que deve ser mantida por embarcações em relação a unidades estacionárias de produção de petróleo?;200 metros;300 metros;400 metros;500 metros;600 metros;500 metros
Arrais Amador;Geral;Em quais situações é permitido o tráfego de embarcações em áreas consideradas de segurança?;Em nenhum caso;Apenas em casos de emergência;Quando o tráfego for regulamentado pelas NPCP/NPCF;Somente para embarcações de pesca;Apenas durante o dia;Quando o tráfego for regulamentado pelas NPCP/NPCF
Arrais Amador;Geral;De acordo com a legislação, quem tem a obrigação de socorrer uma pessoa em perigo de vida no mar, nos portos ou nas vias navegáveis interiores?;Apenas autoridades marítimas;Somente embarcações comerciais;Qualquer pessoa, especialmente o Comandante da embarcação, desde que possa fazê-lo sem perigo para sua embarcação, tripulantes e passageiros;Apenas navios militares;Somente embarcações de salvamento;Qualquer pessoa, especialmente o Comandante da embarcação, desde que possa fazê-lo sem perigo para sua embarcação, tripulantes e passageiros
Arrais Amador;Geral;O que deve ser feito se uma pessoa tomar conhecimento de que há vida humana em perigo no mar, nos portos ou nas vias navegáveis interiores?;Ignorar a situação se não for autoridade marítima;Aguardar até que a autoridade marítima chegue ao local;Comunicar imediatamente o fato à CP/DL/AG ou Autoridade Naval mais próxima;Somente prestar socorro se estiver próximo ao local;Pedir autorização antes de agir;Comunicar imediatamente o fato à CP/DL/AG ou Autoridade Naval mais próxima
Arrais Amador;Geral;Quem é responsável por tomar providências para anular ou minimizar riscos de dano a terceiros ou ao meio ambiente, caso uma embarcação, coisa ou bem esteja em perigo?;O Comandante da embarcação;A Autoridade Marítima;O proprietário da embarcação;O seguro da embarcação;A tripulação da embarcação;O proprietário da embarcação
Arrais Amador;Geral;Durante as operações de assistência ou salvamento, quem deve cooperar integralmente com os salvadores, envidando seus melhores esforços para evitar ou reduzir danos a terceiros ou ao meio ambiente?;Apenas o Comandante da embarcação;A tripulação, sem a necessidade de envolvimento do Comandante;O Comandante da embarcação e a tripulação;A Autoridade Portuária;A empresa de salvamento contratada;O Comandante da embarcação e a tripulação
Arrais Amador;Geral;Qual é o prazo mínimo para que os organizadores de eventos náuticos apresentem as informações necessárias à CP/DL/AG?;5 dias úteis;10 dias úteis;15 dias úteis;20 dias úteis;30 dias úteis;15 dias úteis
Arrais Amador;Geral;O que deve ser planejado e definido pelos organizadores de eventos náuticos em relação à evacuação médica?;A distância entre os postos de socorro;O tempo estimado para a evacuação;A retirada dos acidentados da água até a remoção para um local em terra;O número de ambulâncias disponíveis;O tipo de seguro necessário;A retirada dos acidentados da água até a remoção para um local em terra
Arrais Amador;Geral;Em eventos náuticos de grande envergadura, como procissões marítimas religiosas, o que deve ser informado caso não seja possível fornecer uma relação completa das embarcações?;O tipo de embarcações envolvidas;A identificação dos capitães das embarcações;A estimativa do total de embarcações;A origem das embarcações;O tempo estimado para o evento O tempo estimado para o evento;A estimativa do total de embarcações
Arrais Amador;Geral;Se um evento náutico interferir com o uso de praias, qual é o procedimento correto?;Ignorar a interferência se for de pequena magnitude;Alertar as autoridades competentes para garantir a integridade dos frequentadores;Alterar o evento para uma data posterior;Realizar o evento apenas fora do horário de pico;Divulgar o evento apenas em locais específicos;Alertar as autoridades competentes para garantir a integridade dos frequentadores
Arrais Amador;Geral;Qual é o papel das embarcações de apoio durante um evento náutico?;Auxiliar na organização das competições;Fornecer assistência médica e segurança aos participantes;Realizar manobras de destaque para o evento;Monitorar a presença da imprensa;Coletar taxas de participação dos competidores;Fornecer assistência médica e segurança aos participantes
Arrais Amador;Geral;As embarcações de apoio e segurança devem ser guarnecidas por pessoal:;Com qualquer formação básica;Não tripulantes com formação específica, como médicos e salva-vidas;Apenas com formação em navegação;Apenas com experiência em regatas;Sem exigências específicas de formação;Não tripulantes com formação específica, como médicos e salva-vidas
Arrais Amador;Geral;O que deve ser claramente identificado nas embarcações de apoio durante um evento náutico?;O nome do organizador do evento;O número de registro da embarcação;O tipo de evento;A classificação do tipo de embarcação;A palavra “APOIO”;A palavra “APOIO”
Arrais Amador;Geral;A responsabilidade pela demarcação e sinalização do percurso de um evento náutico é de quem?;Autoridade Marítima;Capitânia dos Portos;Organizadores do evento;Inspeção Naval;Autoridades locais;Organizadores do evento
Arrais Amador;Geral;Qual é a responsabilidade dos órgãos municipais e estaduais em relação às diversões públicas e comerciais?;Regulação de licenciamento de embarcações;Fiscalização de equipamentos de segurança a bordo;Regulamentação das diversões públicas e comerciais;Controle de tráfego marítimo;Inspeção de equipamentos de entretenimento aquático;Regulamentação das diversões públicas e comerciais
Arrais Amador;Geral;Em relação ao reboque de dispositivos flutuantes e aéreos, qual é a proibição estabelecida?;Reboque durante o horário de pico;Reboque em condições meteorológicas adversas;Reboque entre o pôr e o nascer do sol;Reboque a mais de 200 metros da costa;Reboque em áreas com alta concentração de banhistas;Reboque entre o pôr e o nascer do sol
Arrais Amador;Geral;O que deve ser incluído no equipamento da embarcação rebocadora para operação comercial de dispositivos flutuantes?;Equipamento de comunicação em HF;Protetor de hélice e recursos para recolhimento expedito;Sistema de radar avançado;Dispositivo de localização GPS;Sistema de navegação por satélite;Protetor de hélice e recursos para recolhimento expedito
Arrais Amador;Geral;Qual é a função do observador a bordo da embarcação rebocadora?;Manter o controle da velocidade da embarcação;Coordenar com outras embarcações durante o evento;Gerenciar o reabastecimento de combustível da embarcação;Registrar o tempo de operação do dispositivo;Vigiar os usuários do dispositivo e informar ao condutor sobre anormalidades;Vigiar os usuários do dispositivo e informar ao condutor sobre anormalidades
Arrais Amador;Geral;Qual deve ser a distância mínima que o condutor da embarcação rebocadora deve manter de obstáculos potencialmente perigosos?;Menor que o comprimento do cabo de reboque;Igual ao comprimento do cabo de reboque;Menor que 10 metros;Igual a 50 metros;Maior que o comprimento do cabo de reboque;Maior que o comprimento do cabo de reboque
Arrais Amador;Geral;O que deve ser feito quando transportar crianças em dispositivos rebocados?;Crianças com menos de sete anos são permitidas somente com supervisão adicional;Crianças com menos de sete anos podem ser transportadas sem restrições;Crianças não devem usar colete salva-vidas;Crianças devem estar acompanhadas por um adulto ou responsável e devem estar devidamente posicionadas;Crianças podem ser transportadas em qualquer tipo de dispositivo sem necessidade de autorização;Crianças devem estar acompanhadas por um adulto ou responsável e devem estar devidamente posicionadas
Arrais Amador;Geral;Em eventos esportivos e de lazer que utilizam dispositivos flutuantes simples, qual é a recomendação para a embarcação rebocadora?;Não é necessário usar protetor de hélice;A embarcação deve ter um ponto de fixação adequado para o cabo de reboque;Não é necessário ter um observador a bordo;A velocidade deve ser máxima para aumentar o desafio;O cabo de reboque pode ser curto para facilitar o controle;A embarcação deve ter um ponto de fixação adequado para o cabo de reboque
Arrais Amador;Geral;O que é exigido do condutor da embarcação rebocadora em relação ao cabo de reboque?;O cabo deve ter comprimento suficiente para manter os usuários a uma distância segura da popa da embarcação;O cabo deve ser substituído a cada uso;O cabo deve ser fixado diretamente na popa da embarcação;O cabo deve ser mais curto para facilitar manobras rápidas;O cabo deve ser trocado semanalmente;O cabo deve ter comprimento suficiente para manter os usuários a uma distância segura da popa da embarcação
Arrais Amador;Geral;Qual é o requisito de segurança para a utilização de coletes salva-vidas em dispositivos flutuantes e aéreos?;Somente os condutores devem usar colete salva-vidas;Somente as crianças devem usar colete salva-vidas;Coletes salva-vidas são opcionais para usuários adultos;Coletes salva-vidas são necessários apenas em áreas de alto tráfego;Todos os usuários de dispositivos flutuantes e aéreos devem usar colete salva-vidas;Todos os usuários de dispositivos flutuantes e aéreos devem usar colete salva-vidas
Arrais Amador;Geral;Qual é a exigência para a utilização de dispositivos acoplados, como o jet wave boat?;Não é necessário inscrever o dispositivo acoplado;Apenas a moto aquática precisa ser inscrevida;O dispositivo e a moto aquática podem ser registrados juntos;Inscrição separada para o dispositivo e a moto aquática;Apenas o condutor da moto aquática precisa de habilitação;Inscrição separada para o dispositivo e a moto aquática
Arrais Amador;Geral;O que deve ser feito para garantir a segurança dos banhistas e usuários de dispositivos flutuantes durante eventos esportivos?;Realizar eventos apenas durante o período da noite;Diminuir a quantidade de equipamentos de segurança a bordo;Substituir coletes salva-vidas por cintos de segurança;Evitar o uso de dispositivos flutuantes em áreas com alta concentração de banhistas;Permitir que todos os dispositivos flutuantes sejam utilizados em qualquer área;Evitar o uso de dispositivos flutuantes em áreas com alta concentração de banhistas
Arrais Amador;Geral;Qual deve ser a abordagem do condutor da embarcação rebocadora em relação às condições meteorológicas e geográficas?;Ignorar as condições meteorológicas e geográficas se o dispositivo estiver funcionando bem;Manobrar a embarcação com velocidade máxima para compensar as condições adversas;Ajustar a velocidade e a manobra considerando as condições meteorológicas e geográficas;Continuar a navegação sem considerar as condições do local;Usar a embarcação apenas em áreas protegidas e sem condições adversas;Ajustar a velocidade e a manobra considerando as condições meteorológicas e geográficas
Arrais Amador;Geral;Quais são as principais normas e regulamentos que os hidroaviões devem seguir ao operar na água?;Apenas as instruções de aviação civil da ANAC;As regras do Código de Trânsito Brasileiro e orientações do Comando da Aeronáutica;A Instrução de Aviação Civil IAC-3513-91, a ICA 100-12, e as Regras estabelecidas no Regulamento Internacional Abalroamento no Mar (RIPEAM);As normas de segurança do transporte marítimo e as diretrizes da Secretaria de Segurança Pública;Somente as regras do Regulamento Internacional para Prevenir Colisões no Mar;A Instrução de Aviação Civil IAC-3513-91, a ICA 100-12, e as Regras estabelecidas no Regulamento Internacional Abalroamento no Mar (RIPEAM)
Arrais Amador;Geral;"Qual é a função da bandeira ""Alfa"" exibida por uma embarcação durante a operação de mergulho amador?";Indicar que a embarcação está navegando a baixa velocidade;Informar que há mergulhadores na água, solicitando que outras embarcações mantenham-se afastadas e a baixa velocidade;Avisar que a embarcação está parada e requer assistência;Denotar que a embarcação está carregando carga perigosa;Significar que a embarcação está pronta para atracar;Informar que há mergulhadores na água, solicitando que outras embarcações mantenham-se afastadas e a baixa velocidade
Arrais Amador;Geral;O que é exigido para o aluguel de uma embarcação de esporte e/ou recreio sem tripulação?;Que o locatário seja um cidadão estrangeiro não residente no Brasil;Que a embarcação seja equipada com dispositivos de navegação avançados;Que o locatário possua seguro para acidentes pessoais;ue a embarcação tenha uma tripulação mínima de dois membros;Que o locatário possua habilitação compatível com a área de navegação onde ocorrerá a singradura;Que o locatário possua habilitação compatível com a área de navegação onde ocorrerá a singradura
Arrais Amador;Geral;Quais são as restrições aplicadas ao locatário de uma embarcação de esporte e/ou recreio?;O locatário pode utilizar a embarcação para transporte de carga;O locatário pode sublocar a embarcação para terceiros;O locatário pode utilizá-la apenas para recreação ou prática de esportes;O locatário pode usar a embarcação para atividades comerciais de qualquer natureza;O locatário pode modificar a embarcação sem necessidade de autorização;O locatário pode utilizá-la apenas para recreação ou prática de esportes
Arrais Amador;Geral;O que deve ser incluído nas instruções impressas fornecidas ao locatário de uma embarcação de esporte e/ou recreio?;Diretrizes sobre como registrar a embarcação;Regras de manutenção e reparo da embarcação;Procedimentos de segurança, cuidados na navegação, e uso de equipamentos de segurança;Normas de contratação de tripulação para a embarcação;Informações sobre como operar a embarcação em águas internacionais;Procedimentos de segurança, cuidados na navegação, e uso de equipamentos de segurança
Arrais Amador;Geral;Qual é o procedimento inicial ao entrar em Águas Jurisdicionais Brasileiras (AJB) para uma embarcação estrangeira de esporte e/ou recreio?;A embarcação pode iniciar operações sem notificações adicionais;O comandante deve esperar a visita das autoridades anuentes antes de embarcar ou desembarcar qualquer pessoa ou objeto;O comandante deve apresentar a Declaração de Entrada/Saída antes de desembarcar a tripulação;A embarcação deve proceder diretamente para o próximo porto nacional;A embarcação deve emitir um relatório de entrada para a Receita Federal imediatamente;O comandante deve esperar a visita das autoridades anuentes antes de embarcar ou desembarcar qualquer pessoa ou objeto
Arrais Amador;Geral;O que deve ser apresentado para obter a Declaração de Entrada junto à Capitania, Delegacia ou Agência (CP/DL/AG)?;Somente o visto de entrada da CP/DL/AG;Um formulário de registro da embarcação estrangeira;A Declaração de Entrada/Saída, cópia dos vistos de liberação das autoridades anuentes e documento que autoriza o tempo de permanência emitido pela Receita Federal;O seguro da embarcação e o contrato de afretamento;O comprovante de inscrição da embarcação e a procuração do armador;A Declaração de Entrada/Saída, cópia dos vistos de liberação das autoridades anuentes e documento que autoriza o tempo de permanência emitido pela Receita Federal
Arrais Amador;Geral;O que deve ser feito se houver alterações nas movimentações de uma embarcação estrangeira durante sua permanência nas AJB?;O comandante deve comunicar a CP/DL/AG envolvida com antecedência mínima de 24 horas;A alteração pode ser feita sem comunicação prévia às autoridades;A alteração deve ser reportada apenas à Receita Federal;O comandante deve solicitar uma nova Declaração de Entrada/Saída;A comunicação deve ser feita somente após a chegada ao próximo porto;O comandante deve comunicar a CP/DL/AG envolvida com antecedência mínima de 24 horas
Arrais Amador;Geral;O que deve ser apresentado para obter o visto de saída das AJB?;A Declaração de Entrada/Saída com o passe de saída expedido pela Polícia Federal e a liberação da Receita Federal;O visto de entrada original;O certificado de registro da embarcação;O contrato de afretamento e o seguro da embarcação;A Declaração de Conformidade e a fotografia da embarcação;A Declaração de Entrada/Saída com o passe de saída expedido pela Polícia Federal e a liberação da Receita Federal
Arrais Amador;Geral;O que deve ser incluído na Declaração de Entrada/Saída apresentada à CP/DL/AG?;Somente os planos de navegação e o último porto visitado;Planos de navegação, portos a serem visitados, tempo de permanência e o último porto visitado;Documentos de seguro e contratos de afretamento;Apenas o comprovante de inscrição e o contrato social da empresa afretadora;O certificado de registro e a procuração do armador;Planos de navegação, portos a serem visitados, tempo de permanência e o último porto visitado
Arrais Amador;Geral;Qual é o prazo para arquivamento dos Formulários de Declaração de Entrada/Saída pela CP/DL/AG?;Cinco anos;Três anos;Dois anos;Doze meses;Seis meses;Doze meses
Arrais Amador;Geral;O que deve ser solicitado à CP/DL da área onde a embarcação estrangeira operará, para operar na modalidade CHARTER?;Certificado de Registro Nacional da Embarcação;Declaração de Conformidade com validade de dois anos;Atestado de Inscrição Temporária (AIT);Certificado de Seguro Internacional;Licença de Operação Comercial;Atestado de Inscrição Temporária (AIT)
Arrais Amador;Geral;Quais documentos devem ser apresentados para a obtenção do Atestado de Inscrição Temporária (AIT) para uma embarcação estrangeira no CHARTER?;Contrato de Afretamento, comprovante de inscrição e seguro da embarcação;Declaração de Entrada/Saída e visto de saída;Certificado de registro da embarcação e foto da embarcação;Procuração do Armador e contrato social da empresa afretadora;Documentos de autorização da Receita Federal e Polícia Federal;Contrato de Afretamento, comprovante de inscrição e seguro da embarcação
Arrais Amador;Geral;Qual das embarcações abaixo não está sujeita à inscrição obrigatória nas CP/DL/AG?;Uma embarcação brasileira de recreio com Arqueação Bruta de 150.;Um banana-boat sem propulsão com 8 metros de comprimento.;Uma embarcação a motor com 15 metros de comprimento.;Um veleiro com Arqueação Bruta de 120.;Uma lancha com Arqueação Bruta de 90.;Um banana-boat sem propulsão com 8 metros de comprimento.
Arrais Amador;Geral;Quais documentos são obrigatórios a bordo de uma embarcação brasileira registrada com Arqueação Bruta superior a 100?;Apenas o Título de Inscrição de Embarcação (TIE).;Somente a Provisão de Registro de Propriedade Marítima (PRPM).;Nenhum documento é necessário.;Apenas documentos digitais.;Título de Inscrição de Embarcação (TIE) e Provisão de Registro de Propriedade Marítima (PRPM).;Somente a Provisão de Registro de Propriedade Marítima (PRPM).
Arrais Amador;Geral;Onde uma embarcação deve ser inscrita, de acordo com a regra geral?;No local onde a embarcação foi construída.;No domicílio do construtor da embarcação.;No domicílio do proprietário da embarcação ou no porto de permanência.;Na capital do estado onde o proprietário reside.;Em qualquer Capitania dos Portos.;No domicílio do proprietário da embarcação ou no porto de permanência.
Arrais Amador;Geral;Qual documento NÃO é aceito como comprovante de residência para inscrição de embarcação, de acordo com a legislação?;Contrato de locação.;Conta de luz.;Declaração de residência.;Carteira de identidade.;Contrato social (para pessoa jurídica).;Carteira de identidade.
Arrais Amador;Geral;Qual das seguintes afirmações está correta sobre o local de inscrição de uma embarcação?;As embarcações devem ser inscritas apenas na CP/DL/AG onde a embarcação foi construída.;A inscrição da embarcação deve ser realizada na CP/DL/AG onde o proprietário reside ou onde a embarcação for operar.;A embarcação deve ser inscrita na CP/DL/AG mais próxima do porto de registro.;A inscrição só pode ser feita na CP/DL/AG do domicílio do proprietário.;A inscrição é feita na CP/DL/AG mais conveniente ao proprietário, independentemente da área de operação.;A inscrição da embarcação deve ser realizada na CP/DL/AG onde o proprietário reside ou onde a embarcação for operar.
Arrais Amador;Geral;Em que situação uma CP/DL/AG pode realizar uma inscrição prévia de uma embarcação?;Quando a embarcação tem AB maior que 100 e é construída fora do domicílio do proprietário.;Quando o proprietário não consegue comprovar residência no local de operação da embarcação.;Quando a embarcação tem AB menor ou igual a 100 e é construída em local diferente do domicílio do proprietário.;Quando a embarcação ainda não tem um porto de permanência definido.;Quando o proprietário solicita a inscrição em mais de uma jurisdição.;Quando a embarcação tem AB menor ou igual a 100 e é construída em local diferente do domicílio do proprietário.
Arrais Amador;Geral;Qual é o prazo máximo para a inscrição e/ou registro de uma embarcação com AB maior que 100, construída no Brasil?;30 dias a partir da data de entrega pelo construtor.;60 dias a partir da data de entrega pelo construtor.;15 dias a partir da data de entrega pelo construtor.;45 dias a partir da data de entrega pelo construtor.;90 dias a partir da data de entrega pelo construtor.;15 dias a partir da data de entrega pelo construtor.
Arrais Amador;Geral;Qual é o prazo máximo para realizar a inscrição de uma embarcação com comprimento menor que 24 metros e arqueação bruta (AB) menor ou igual a 100, a partir da data da aquisição?;15 dias;30 dias;45 dias;60 dias;90 dias;60 dias
Arrais Amador;Geral;Qual é o propósito da Diretoria de Portos e Costas ao consolidar os Títulos de Inscrição de Embarcação (TIE) e os Títulos de Inscrição de Embarcação Miúda (TIEM) em um único modelo?;Reduzir os custos de emissão dos documentos.;Simplificar o processo de inscrição para embarcações de grande porte.;Facilitar o acesso dos usuários aos serviços prestados pelas Capitanias, Delegacias e Agências em todo o território nacional.;Melhorar a segurança das embarcações por meio de inspeções mais rigorosas.;Limitar a emissão de documentos a embarcações com comprimento inferior a 24 metros.;Facilitar o acesso dos usuários aos serviços prestados pelas Capitanias, Delegacias e Agências em todo o território nacional.
Arrais Amador;Geral;Como será garantida a segurança do Título de Inscrição de Embarcação (TIE) emitido pelo aplicativo “Gov.br”?;Através da autenticação digital no aplicativo com senha pessoal.;Por meio de uma assinatura digital emitida pela Diretoria de Portos e Costas.;Mediante a impressão de um QR Code criptografado que pode ser validado pelo aplicativo VIO.;Através da impressão do documento em papel de segurança.;Por meio de uma verificação manual realizada pelas Capitanias, Delegacias e Agências.;Mediante a impressão de um QR Code criptografado que pode ser validado pelo aplicativo VIO.
